PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-02,15:47:31,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,63.4337,1.760012,1.043544,1066.475275,174.808434,11:45:00,3.91417,-0.64748000000000006,20.43525,-32.88372,2.63181,-0.17114,2.36181,0.04235,59.97992,-6.513451,1.001256,0.428924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42283,2.5648,0.82898,50,3.45463,-1.73125,-94.25539,5.94124,0.38436,12.92735,-29.84267,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,cf980b00-884e-11f0-bf11-a9e2d848a16a,87.87668,NA,NA,3.45378,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,22:47:31,2025-09-02T22:47:31Z,2025-09-02T22:47:31Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,8a0ce76e-2505-4f72-91f7-205b917bf676,40.06761,-92.88315,6.46367,3.91716,2.77343,-14.92134,0.64737,-1.69045,0.19218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-09-02,15:47:39,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.71223,2.141124,0.960846,1159.774859,239.193474,02:00:00,3.93392,-0.61018,20.87485,-32.94096,2.64772,3.15772,2.61778,0.29388,59.17553,-6.249099,1.749741,0.429366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.82791,2.57669,0.7713,50,3.37467,-1.28774,-93.26322,6.69455,-2.50902,13.06169,-29.88793,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,d441bcf0-884e-11f0-bf11-a9e2d848a16a,87.78633,NA,NA,3.53671,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,22:47:39,2025-09-02T22:47:39Z,2025-09-02T22:47:39Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,07195986-29fa-4331-b860-24852541f32c,39.62759,-91.79905,6.53084,3.93733,3.34422,-14.94396,0.61119,-1.56899,-1.25451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-09-02,15:47:52,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.89622,1.538981,1.151617,1211.225004,206.111827,12:45:00,3.9448,-0.62552,20.44319,-31.71084,5.85587,2.43851,2.34074,0.35457,58.12002,-6.476024,1.75407,0.441137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00225,5.73642,0.81679,50,3.52831,-1.65689,-92.07999,5.33334,-1.71981,13.6146,-27.24676,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,dc750ad0-884e-11f0-bf11-a9e2d848a16a,85.44392,NA,NA,3.7762,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,22:47:52,2025-09-02T22:47:52Z,2025-09-02T22:47:52Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,50abf950-51d0-4660-9a05-2e36c72f5bea,40.05812,-90.5981,6.8073,3.94742,2.36764,-13.62338,0.62626,-1.84408,-0.8599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-09-02,15:48:16,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.13812,2.274027,1.08944,1277.116117,219.010634,01:15:00,3.93039,-0.63459,20.53034,-32.71829,5.36319,3.69713,2.73533,0.40677,57.75613,-5.994432,2.004452,0.444149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27095,5.13681,0.81158,50,3.3729,-1.42699,-90.80298,6.58408,-2.75966,11.98667,-27.84017,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,ea629040-884e-11f0-bf11-a9e2d848a16a,84.86445,NA,NA,3.382,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,22:48:16,2025-09-02T22:48:16Z,2025-09-02T22:48:16Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,296f10c0-23cc-4bd2-b02f-ad684414fa1a,39.97154,-89.46936,5.99334,3.93312,3.48661,-13.92008,0.63574,-1.73403,-1.37983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-09-02,16:43:24,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.00683,2.56972,1.210166,1487.675353,188.34302,12:15:00,3.90714,-0.6381,20.48802,-28.56147,8.44603,1.13047,3.25985,0.27154,58.61519,-4.658652,1.489504,0.437841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.79736,8.01347,0.84485,50,3.31678,-1.85033,-91.97236,6.7918,-0.69373,11.6305,-25.20215,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,9e59dde0-8856-11f0-bf11-a9e2d848a16a,86.08709,NA,NA,3.39163,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:43:24,2025-09-02T23:43:24Z,2025-09-02T23:43:24Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,5534d4ad-faa6-4c63-b81b-26722140731e,40.01313,-90.70066,5.81525,3.90876,4.03616,-12.60107,0.63839,-1.92619,-0.34687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-09-02,16:43:27,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.10864,1.37945,0.501287,1425.817659,206.814467,01:00:00,3.90266,-0.61117,20.57263,-29.09545,7.65461,3.48004,2.40558,0.01583,58.73646,-5.991988,1.364107,0.436315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.22469,7.55437,0.68599,50,3.51387,-0.51636,-92.28837,4.9588,-2.81314,12.2539,-25.5838,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,a0241690-8856-11f0-bf11-a9e2d848a16a,86.3881,NA,NA,3.37219,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:43:27,2025-09-02T23:43:27Z,2025-09-02T23:43:27Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,d169edd9-3dac-437e-ae9f-b965c6eca47f,39.92906,-90.94133,6.12695,3.9044,2.14645,-12.7919,0.61223,-0.82559,-1.40657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-09-02,16:43:35,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.2423,1.805666,0.915922,1318.32072,223.956178,01:30:00,3.85563,-0.61468,20.37034,-32.43785,4.30843,3.49299,2.37327,0.29541,59.28073,-6.327987,1.777353,0.436293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14256,4.18796,0.75917,50,3.39104,-1.18577,-92.33205,5.87397,-2.77001,11.03189,-28.48256,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,a4bcffa0-8856-11f0-bf11-a9e2d848a16a,86.39254,NA,NA,2.96157,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:43:35,2025-09-02T23:43:35Z,2025-09-02T23:43:35Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,74cf9895-183c-4955-87bf-01fc0d053d9e,40.13266,-91.14547,5.51595,3.85809,2.81041,-14.24128,0.6156,-1.48371,-1.38501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-09-02,16:46:19,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.91187,1.999464,1.435061,1414.132667,191.254449,12:30:00,3.53132,-0.65313,20.71651,-26.70474,9.03398,1.63969,2.646,0.44482,59.12696,-4.8212,1.842544,0.43027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22189,8.70406,0.90207,50,3.03297,-2.19937,-93.55724,5.88043,-1.08804,13.50131,-24.42358,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,0677eb60-8857-11f0-bf11-a9e2d848a16a,87.60187,NA,NA,3.7849,NA,NA,NA,NA,NA,NA,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:46:19,2025-09-02T23:46:19Z,2025-09-02T23:46:19Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,a6cbf239-ff8e-40ad-bb34-a0a58b3e44be,39.78595,-92.07144,6.75066,3.53221,3.19266,-12.21179,0.65344,-2.31911,-0.54402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-09-02,16:46:22,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.76654,2.330588,1.334747,1370.95222,186.777945,12:15:00,3.51095,-0.65634,20.47178,-29.12525,8.39355,0.9002,2.65598,0.31846,58.12093,-5.049675,1.557027,0.440855,36.79438,-38.014741,-1.809188,NA,NA,NA,NA,4.89696,4.89696,-4.796849,0.076682,-0.52469,7.91095,0.885,50,2.96057,-2.06316,-91.77606,6.42783,-0.45054,12.71763,-25.3809,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,082414c0-8857-11f0-bf11-a9e2d848a16a,85.49848,2.603,NA,3.64561,NA,NA,NA,1.63213,2.603,-0.2932,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:46:22,2025-09-02T23:46:22Z,2025-09-02T23:46:22Z,GroundBall,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,e12dca71-071f-4190-aa70-ac6ec881fa1a,40.03085,-90.38405,6.35882,3.5121000000000002,3.64977,-12.69045,0.65648,-2.11247,-0.22527,156.121086,1.63214,42.49369,-1.84453,NA,NA,NA,NA,NA,NA,2.60302,-33.23844,-9.22869,NA,NA,NA,NA,NA,NA,-0.2932,-1.34193,-2.27758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-09-02,16:47:02,NA,NA,NA,NA,Undefined,CAL_LAN,"Dykstra, Ryder",1000111224,Left,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,62.2805,2.238759,0.805341,1308.490205,204.609832,12:45:00,3.51699,-0.63702,20.56693,-31.63395,5.38406,2.04929,2.38696,0.07525,58.1754,-5.800362,1.312935,0.437903,95.0158,10.766206,-14.140305,2715.569281,104.8609,12.51983,-33.22913,194.21977,194.21977,-20.576083,1.744536,-1.74732,4.98607,0.77046,50,2.96816,-1.13204,-92.75638,6.55669,-1.51341,14.63012,-27.85543,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250902-705-CalBaptistBaseballField-BP-1,20530790-8857-11f0-bf11-a9e2d848a16a,86.07484,12.62745,NA,4.10509,NA,NA,NA,1.83754,2.42102,-0.05006,bdd69e7f-3b6d-4b80-8435-e6307ffefa86,2025-09-02,23:47:02,2025-09-02T23:47:02Z,2025-09-02T23:47:02Z,LineDrive,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,fbd218a8-2a56-4c32-9c4d-7797bc134ccb,39.93568,-91.15515,7.31506,3.51893,3.50798,-13.92772,0.63749,-1.29768,-0.75671,104.589741,1.83754,132.7551,-22.59582,4.44137,-0.9156,0.16219,-0.0206,-4.5e-4,5.4e-4,2.42102,26.03205,-17.50516,1.28907,-0.20536,0.04282,-0.01155,0.0037200000000000002,-5.9e-4,-0.05006,-33.44519,-5.88955,2.35311,-0.68407,0.15105,-0.0172,-0.00285,0.00104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
