PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-06,12:10:24,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,88.91423,-2.704039,0.093326,2283.989078,205.989326,12:45:00,5.94701,0.89878,7.19441,-13.62339,20.50907,9.39178,2.3607,1.76596,80.223,-5.411638,1.82128,0.420489,-4.99662,12.26264,-0.90608,50,5.78554,-0.54586,-129.14555,-6.32902,-8.29305,31.22584,-11.82137,ffc06f2a-5032-40e5-ba2c-9292f02e3ac6,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CRE_BLU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,cb788550-8b3b-11f0-ace7-4d51b100c0f4,89.63943,NA,NA,8.69123,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:10:24,2025-09-06T16:10:24Z,2025-09-06T16:10:24Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.30236,-129.94156,15.61292,5.94304,-6.02767,-5.91069,-0.89486,-0.33445,-4.14653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-09-06,12:10:35,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,89.88465,-2.11436,-2.063769,2283.089822,200.336195,12:45:00,5.8962,0.57441,7.23736,-13.37036,19.70848,6.88882,2.86638,-0.72005,81.64524,-4.763244,-0.796398,0.413949,-4.42981,11.70741,-0.45849,50,5.77118,4.48623,-130.69809,-5.08592,-7.58327,30.20054,-12.13245,062a46be-7e60-4bc3-b448-84e119a670a7,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CRE_BLU,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,d1a18440-8b3b-11f0-ace7-4d51b100c0f4,91.05583,NA,NA,8.23941,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:10:35,2025-09-06T16:10:35Z,2025-09-06T16:10:35Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.26424,-131.4502,15.10027,5.89408,-4.78377,-6.06622,-0.57257,4.67508,-3.79163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-09-06,12:10:48,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Curveball,NA,NA,74.30558,-0.214813,0.253439,2380.653324,38.049909,07:15:00,5.96887,0.55054,6.54937,-63.33066,-13.98761,-12.11827,0.49433,-0.22691,68.98153,-11.86721,-1.961098,0.505574,6.45989,-6.85386,-0.56327,50,5.92788,-0.09623,-108.2026,-2.15586,7.61801,19.81046,-40.25668,078dd991-4c24-4061-b113-7f524ea2c88e,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CRE_BLU,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,d9ab2a10-8b3b-11f0-ace7-4d51b100c0f4,74.55381,NA,NA,5.32405,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:10:48,2025-09-06T16:10:48Z,2025-09-06T16:10:48Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.95563,-108.92442,9.90523,5.97971,-0.68906,-20.12834,-0.55471,-0.3738,3.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-09-06,12:11:00,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Curveball,NA,NA,74.68104,2.433309,1.016294,2404.091033,32.470941,07:00:00,6.01264,0.50832,6.06603,-65.58346,-15.64509,-10.9617,2.80097,0.53547,68.59436,-9.599113,-0.962221,0.508614,5.93307,-8.25808,-0.58142,50,6.1669,-1.54241,-108.53498,2.6083,7.03368,20.08578,-41.96404,9cbc00cb-35f5-4787-965e-cd5c427565f0,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CRE_BLU,1,Top,0,2,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,e0e48790-8b3b-11f0-ace7-4d51b100c0f4,74.10807,NA,NA,6.08667,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:11:00,2025-09-06T16:11:00Z,2025-09-06T16:11:00Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,54.43861,-109.35332,10.04289,6.0258,4.318,-20.98202,-0.51274,-1.82897,3.51684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-09-06,12:11:11,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,90.56523,-2.446653,-0.463743,2284.43278,197.955942,12:30:00,5.95246,0.53676,6.99675,-13.10178,19.8206,6.05634,2.6347,0.6198,82.17517,-5.033358,0.64638,0.412968,-3.40654,11.71894,-0.51016,50,5.79762,0.84956,-131.63164,-5.88479,-5.91197,30.77298,-11.83611,09b797ec-c704-4734-8358-58f50e11429b,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CRE_BLU,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,e7545380-8b3b-11f0-ace7-4d51b100c0f4,91.271960000000007,NA,NA,8.39006,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:11:11,2025-09-06T16:11:11Z,2025-09-06T16:11:11Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.50287,-132.44802,15.38649,5.94957,-5.57079,-5.91806,-0.53478,1.0064,-2.95599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-09-06,12:11:38,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,87.16426,-2.317,-2.022177,1749.602323,231.200074,01:45:00,5.78421,0.8467,7.16836,-24.76167,10.76461,11.80406,1.61859,-0.00291,78.91926,-7.062346,0.149668,0.428989,-6.95374,6.91981,-0.73119,50,5.64157,4.05198,-126.57587,-5.73469,-11.10393,29.6265,-21.12432,25b46d8a-67e3-4855-87e0-cec31bee4eb9,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,CRE_BLU,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,f7822c00-8b3b-11f0-ace7-4d51b100c0f4,87.86336,NA,NA,8.24499,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:11:38,2025-09-06T16:11:38Z,2025-09-06T16:11:38Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.32858,-127.35258,14.81325,5.78465,-5.18088,-10.56216,-0.84123,4.34308,-5.55197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-09-06,12:11:53,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,89.56429,-3.353987,-0.063596,2296.11917,199.214875,12:45:00,5.85638,0.57381,7.34208,-13.69824,19.70662,6.4502,1.68215,1.05389,81.03094,-6.069273,1.126765,0.415984,-3.51051,12.09989,-0.57149,50,5.66631,-0.07716,-130.08392,-7.85711,-5.92362,31.16917,-11.75683,f4af366c-8a10-4b9d-9adc-4bd8c663b65b,NA,NA,NA,NA,NA,1000227294,"Gump, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,CRE_BLU,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,007fcec0-8b3c-11f0-ace7-4d51b100c0f4,90.61034,NA,NA,8.53336,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:11:53,2025-09-06T16:11:53Z,2025-09-06T16:11:53Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.15578,-130.83789,15.58459,5.85293,-7.57272,-5.87842,-0.57136,0.06614,-2.96181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-09-06,12:12:17,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Curveball,NA,NA,72.55104,1.65327,0.543507,2405.725195,34.543484,07:15:00,6.0232,0.85697,6.11705,-68.32256,-15.40954,-11.78268,1.85869,0.3776,66.74604,-10.877453,-1.588351,0.523543,6.28693,-8.04882,-0.89243,50,6.1142,-0.61325,-105.49063,1.06521,7.01478,19.59275,-41.1547,2d90913f-de61-4844-aecb-52c21e2de238,NA,NA,NA,NA,NA,1000122192,"North, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CRE_BLU,1,Top,0,0,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,0eba89d0-8b3c-11f0-ace7-4d51b100c0f4,71.99489,NA,NA,5.805,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:12:17,2025-09-06T16:12:17Z,2025-09-06T16:12:17Z,NA,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,54.38791,-106.30247,9.79638,6.03473,2.77049,-20.57735,-0.861,-0.90392,3.50739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-09-06,12:12:33,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Fastball,NA,NA,90.03109,-2.20636,-1.681469,2301.17502,199.839054,12:45:00,6.03958,0.80144,7.12279,-14.31564,19.03899,6.43406,2.84357,-0.18793,81.22278,-5.037118,-0.49984,0.415671,-3.96225,11.24134,-0.7034,50,5.90376,3.59851,-130.73443,-5.30472,-6.7502,31.58132,-13.02286,f673c079-5725-4d32-aa98-a57635757ba0,NA,NA,NA,NA,69.155334,1000122192,"North, Ben",4346.793441,NA,93.0081,Right,12.708373,28.66846,15.97726,106.19779,215.97286,145.0088,2.10693,80.331408,-1.16771,2.2079,0.59492,NA,NA,NA,NA,NA,2,2,CRE_BLU,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,185b7170-8b3c-11f0-ace7-4d51b100c0f4,90.67861,15.99101,NA,8.80831,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:12:33,2025-09-06T16:12:33Z,2025-09-06T16:12:33Z,LineDrive,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,53.37304,-131.54673,15.79066,6.03589,-4.96977,-6.51143,-0.79819,3.77213,-3.3751,NA,-1.16771,47.35105,-19.31256,3.69657,-0.81789,0.165,-0.02882,0.00397,-2.9e-4,2.2079,30.00903,-18.08764,2.21688,-0.46151,0.10972,-0.02001,0.00264,-1.9e-4,0.59492,124.36026,-12.61575,0.84859,-0.06744,-0.01678,0.00604,-0.00093000000000000005,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
10,2025-09-06,12:12:57,"McClellan, Maximus",10091061,Right,CRE_BLU,Undefined,Slider,NA,NA,80.56533,-0.322216,-0.141202,2145.570929,145.82829,10:45:00,6.01687,0.83806,6.46937,-30.75726,11.85477,-7.02327,3.15783,0.12311,72.91976,-6.145961,-1.416251,0.469827,3.62406,6.75091,-0.82525,50,5.98065,0.53953,-117.00835,-1.48494,4.94913,25.15656,-22.95477,eec90c9e-e853-4443-900a-5abb37f73d95,NA,NA,NA,NA,20.448132,1000122192,"North, Ben",NA,NA,80.61086,Right,52.214976,95.47073,112.8285,54.63826,213.03436,188.32695,5.441442,34.027726,0.3648,3.37096,-0.04769,NA,NA,NA,NA,NA,2,3,CRE_BLU,1,Top,0,0,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,CRE_BLU,CRE_BLU,TDAmeritrade,TeamExclusive,Team,20250906-TDAmeritrade-Private-1,26d00130-8b3c-11f0-ace7-4d51b100c0f4,80.22628,114.38921,NA,7.64557,NA,NA,NA,3ac02286-129a-4afb-b250-e8acb96eedae,2025-09-06,16:12:57,2025-09-06T16:12:57Z,2025-09-06T16:12:57Z,FlyBall,v3,471278,471278,NA,"McHugh, Nate",822340,Right,CRE_BLU,54.02747,-117.87107,12.57828,6.01808,-0.69773,-11.47739,-0.84085,0.36981,2.47456,201.332854,0.36756,67.79448,-19.47129,5.14085,-0.67223,-0.0774,0.04742,-0.00701,3.5e-4,3.36449,93.55437,-23.62499,2.36269,-0.45858,0.05956,0.00408,-0.00224,1.8e-4,-0.04954,25.34913,0.30575,-0.53141,0.03665,0.05632,-0.02141,0.00311,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
