PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-09-19,13:44:40,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,90.12137,-1.190028292,-1.528989226,2189.214607,217.6755937,01:15:00,6.21764,2.09813,6.5966,-17.6469,16.10533,12.45481,3.6564,1.73508,81.36301,-4.568764894,0.862021379,0.4181408549,-7.40362,9.32182,-1.99919,50,6.12916,3.14926,-131.1691,-3.22438,-12.7127,31.47899,-16.16763,b4d2465b-d6fe-4d2c-ab63-13f7a54d23a2,ef6873d6-03af-4a40-b4e5-f70fb5c17440,90.14292,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45647658,2137.680799,0.9764601388,NA,ec477f24-0f26-417e-ba51-ac76438dbaef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-09-19,13:44:57,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,89.96329,-1.779236988,-4.094667953,2242.340395,212.6159809,01:00:00,5.87161,2.38138,6.91737,-16.81794,16.63259,10.66833,2.84555,-0.46392,81.55728,-5.008148681,-2.045653472,0.4162678378,-7.23472,9.87446,-2.1288299999999998,50,5.75404,9.07825,-130.72816,-4.51304,-12.40422,29.93538,-15.24388,01d3ce59-df5e-45f2-9353-3512fa0364a0,ef6873d6-03af-4a40-b4e5-f70fb5c17440,90.54853,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21924713,1994.029835,0.8892627721,NA,ac5b8a8b-c826-401b-a6c9-f9fb3af90e21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-09-19,13:45:15,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,88.00859,-0.1450323171,-1.267246683,1943.260316,228.5070589,01:30:00,6.04392,2.36647,NA,-23.40887,13.04809,14.78886,3.95793,2.41713,79.921,-4.537625289,1.514261171,0.4345718963,-8.30277,7.03504,-2.2687,50,6.01704,2.33994,-127.98701,-1.10171,-13.67444,28.16108,-20.58753,5c10b6a9-f51b-4402-a578-67b59eb110e1,ef6873d6-03af-4a40-b4e5-f70fb5c17440,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.52731835,1781.716791,0.9168698485,NA,9d9f5032-82dc-4b1f-a883-8eb6fe1f1a43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-09-19,13:45:31,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,88.81184,-3.142076079,-1.23043443,2069.718814,210.0113939,01:00:00,6.05918,2.11409,6.547,-18.51763,16.07463,9.28347,1.63149,1.75934,81.12548,-6.65038301,0.5414427466,0.4233122804,-5.48983,9.8007,-2.03323,50,5.83419,2.51126,-129.17758,-7.61793,-9.23592,28.00154,-15.68564,ce2dd659-7e14-42de-a171-ecebd447fbf1,ef6873d6-03af-4a40-b4e5-f70fb5c17440,89.04169,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82a67734-a2ef-495c-a220-258087e1de74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-09-19,13:45:51,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,84.14853,-1.289982474,-2.227645366,2306.428204,155.1392926,11:15:00,5.85828,2.22306,NA,-31.382930000000002,7.83889,-3.65063,2.04604,-0.14736,77.33062,-7.160090895,-2.91440357,0.4507495609,1.35384,4.59873,-2.04469,50,5.73859,4.8718,-122.40035,-3.70831,2.05355,24.19321,-25.19853,9ed48448-9952-48f7-92ab-bf432f917ec4,ef6873d6-03af-4a40-b4e5-f70fb5c17440,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117f6f94-79f1-4f58-b564-dd782166d9b6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-09-19,13:46:06,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,83.68872,-3.831471496,-3.263883689,2272.139464,194.1281054,12:30:00,6.00837,2.31896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04779,5.06549,-2.06243,50,5.68716,6.8619,-121.23255,-9.12096,-2.98861,27.98182,-24.78131,2a730c79-6350-4c79-95b7-425f9e95911a,ef6873d6-03af-4a40-b4e5-f70fb5c17440,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2c51f63-90c5-4556-b33e-b8c9eeaf7ff0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-09-19,13:46:26,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,84.53647,-0.7540109487,-2.432973666,2297.229367,117.7963987,10:00:00,5.87931,2.28892,NA,-37.18416,2.12596,-4.10274,2.07669,-0.32357,77.8503,-7.661153387,-3.199532609,0.451256639,1.52366,1.34348,-2.07997,50,5.79177,5.3547,-122.91522,-2.81696,2.33358,24.10926,-30.11644,6d6ea021-650c-422c-a996-dffbeffa0b7a,ef6873d6-03af-4a40-b4e5-f70fb5c17440,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1963702,927.1692613,0.40360326,NA,4856ad27-ab6b-41b2-a506-da6a696b0e31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-09-19,13:46:43,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,88.91077,-2.207560115,-3.039475166,2223.743392,213.2722788,01:00:00,5.93345,2.16644,NA,-17.49918,16.91648,11.11166,2.45361,0.31168,80.8007,-5.549386203,-0.9114174636,0.4222303672,-7.09723,10.07918,-1.96985,50,5.78035,6.56138,-129.27983,-5.46804,-11.92027,28.85867,-15.24538,92f423a9-96f4-45a6-a145-a5cb41bf7a1d,ef6873d6-03af-4a40-b4e5-f70fb5c17440,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.35272188,2025.884106,0.9110242275,NA,a5fba95b-eafe-4b4e-883e-3672778f981a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-09-19,13:47:00,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,ChangeUp,Live,NA,79.95777,-1.861292137,-3.678820529,2101.86276,232.0853653,01:45:00,5.59517,2.52589,6.70511,-27.84148,14.82891,19.06243,1.56944,0.74681,72.73435,-7.170912973,-0.0257905846,0.4701481087,-11.73485,8.82379,-2.28959,50,5.46052,7.00334,-116.1978,-4.46699,-15.8948,23.66351,-20.22227,d2cea4c9-2b6f-417a-b3e8-30ce41a61ca5,ef6873d6-03af-4a40-b4e5-f70fb5c17440,80.17141,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22aa440a-1230-4eea-a58e-a672429bff18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-09-19,13:47:19,"Jenkins, Matthew",804285,Right,FLA_GAT,NA,NA,NA,NA,ChangeUp,Live,NA,82.34658,-3.442819199,-5.187460073,2173.311149,226.6546656,01:30:00,5.75458,2.53317,6.70528,-24.53464,15.92323,16.84788,0.54603,-0.81793,74.94604,-8.107401118,-1.969560832,0.4577969876,-10.94539,9.90579,-2.19552,50,5.51562,10.40433,-119.28025,-7.824,-15.64021,24.6949,-18.01935,e05fdad7-7436-4e0e-b3ba-adda690b1801,ef6873d6-03af-4a40-b4e5-f70fb5c17440,82.3344,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149f3343-8ff9-4a3f-8488-8393e3b5ebde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
